Title,Type,Finishing,Location,City,Area,Beds,Baths,Price,Price_per_sqm,URL
Property 49,Villa,Fully Finished,Sheikh Zayed,Giza,227 sqm,3,3,"6,833,949 EGP",17315.722122746745,https://example.com/property/49
Property 50,Villa,Fully Finished,New Cairo,Giza,468 sqm,4,1,"5,354,222 EGP",32697.72832092918,https://example.com/property/50
Property 51,Apartment,Unknown,Maadi,Suez,106 sqm,1,3,"4,573,260 EGP",25080.308478349783,https://example.com/property/51
Property 52,Villa,Fully Finished,Giza,North Coast,381 sqm,4,4,"1,010,928 EGP",48597.144060073035,https://example.com/property/52
Property 53,Apartment,Unknown,Maadi,North Coast,488 sqm,2,3,"709,815 EGP",20941.681160077474,https://example.com/property/53
Property 54,Villa,Semi Finished,Cairo,Cairo,73 sqm,4,4,"3,900,631 EGP",25986.320083430146,https://example.com/property/54
Property 55,Townhouse,Unknown,New Cairo,Suez,356 sqm,5,1,"3,669,778 EGP",49314.40471421682,https://example.com/property/55
Property 56,Townhouse,Unknown,Giza,Giza,260 sqm,4,2,"4,183,103 EGP",31458.815647538926,https://example.com/property/56
Property 57,Apartment,Unknown,Sheikh Zayed,Suez,310 sqm,1,1,"1,814,497 EGP",30105.20462485014,https://example.com/property/57
Property 58,Townhouse,Unknown,Giza,North Coast,88 sqm,1,1,"7,512,598 EGP",20311.139528159652,https://example.com/property/58
Property 59,Townhouse,Semi Finished,Sheikh Zayed,North Coast,69 sqm,4,2,"8,641,161 EGP",38054.54241241766,https://example.com/property/59
Property 60,Villa,Semi Finished,Giza,Cairo,350 sqm,1,3,"9,417,789 EGP",10574.918071111106,https://example.com/property/60
Property 61,Apartment,Fully Finished,Maadi,Cairo,420 sqm,1,2,"5,177,441 EGP",11980.505188091742,https://example.com/property/61
Property 62,Villa,Semi Finished,Maadi,North Coast,401 sqm,4,3,"7,158,224 EGP",33974.34348543211,https://example.com/property/62
Property 63,Villa,Semi Finished,Maadi,Giza,294 sqm,3,3,"8,627,735 EGP",23666.982952738166,https://example.com/property/63
Property 64,Villa,Fully Finished,Cairo,Giza,94 sqm,3,4,"4,473,765 EGP",48132.65488803842,https://example.com/property/64
Property 65,Villa,Semi Finished,Sheikh Zayed,Suez,359 sqm,2,4,"3,439,421 EGP",46127.627628911425,https://example.com/property/65
Property 66,Villa,Unknown,Maadi,North Coast,158 sqm,1,2,"9,398,883 EGP",38548.250347068286,https://example.com/property/66
Property 67,Villa,Unknown,Cairo,North Coast,459 sqm,4,1,"5,398,927 EGP",42725.82324511206,https://example.com/property/67
Property 68,Villa,Fully Finished,Sheikh Zayed,Giza,427 sqm,1,2,"5,223,911 EGP",36693.27398670773,https://example.com/property/68
Property 69,Apartment,Fully Finished,Giza,Giza,369 sqm,5,3,"2,194,952 EGP",15023.284108406428,https://example.com/property/69
Property 70,Townhouse,Fully Finished,Cairo,North Coast,476 sqm,1,4,"1,527,472 EGP",40621.73478756811,https://example.com/property/70
Property 71,Villa,Unknown,New Cairo,Cairo,64 sqm,1,2,"8,500,015 EGP",18407.678748753853,https://example.com/property/71
Property 72,Villa,Semi Finished,Cairo,North Coast,381 sqm,3,2,"6,334,265 EGP",22937.71420400787,https://example.com/property/72
Property 73,Villa,Unknown,Cairo,North Coast,198 sqm,4,4,"3,595,333 EGP",42769.368484096805,https://example.com/property/73
Property 74,Villa,Fully Finished,Sheikh Zayed,Giza,457 sqm,1,4,"2,321,494 EGP",31461.02433573793,https://example.com/property/74
Property 75,Villa,Semi Finished,Giza,Giza,170 sqm,3,4,"5,777,224 EGP",44397.62856733637,https://example.com/property/75
Property 76,Villa,Semi Finished,New Cairo,Cairo,376 sqm,2,3,"6,047,233 EGP",18521.412793730568,https://example.com/property/76
Property 77,Townhouse,Unknown,Maadi,Cairo,444 sqm,3,4,"2,466,439 EGP",34311.13754427549,https://example.com/property/77
Property 78,Townhouse,Fully Finished,Maadi,Suez,68 sqm,3,1,"8,588,354 EGP",13351.638901930464,https://example.com/property/78
Property 79,Villa,Unknown,Cairo,North Coast,228 sqm,3,2,"1,300,511 EGP",35722.439741601185,https://example.com/property/79
Property 80,Townhouse,Semi Finished,Sheikh Zayed,Giza,393 sqm,1,4,"3,882,884 EGP",40501.36151102139,https://example.com/property/80
Property 81,Apartment,Unknown,Sheikh Zayed,Cairo,254 sqm,1,4,"6,963,651 EGP",33397.23575914887,https://example.com/property/81
Property 82,Villa,Unknown,Maadi,Suez,170 sqm,2,3,"3,104,143 EGP",20649.26005995241,https://example.com/property/82
Property 83,Apartment,Fully Finished,New Cairo,Suez,148 sqm,5,3,"8,362,914 EGP",11253.70675435467,https://example.com/property/83
Property 84,Apartment,Fully Finished,Giza,Giza,109 sqm,5,2,"7,528,744 EGP",14777.955358571431,https://example.com/property/84
Property 85,Villa,Semi Finished,New Cairo,Giza,435 sqm,5,1,"7,995,717 EGP",34892.11916296105,https://example.com/property/85
Property 86,Townhouse,Unknown,Giza,Suez,308 sqm,2,2,"1,631,512 EGP",47376.80867370055,https://example.com/property/86
Property 87,Apartment,Unknown,Maadi,Cairo,84 sqm,5,4,"1,835,197 EGP",18261.376158880255,https://example.com/property/87
Property 88,Villa,Unknown,Giza,Suez,222 sqm,5,1,"3,221,500 EGP",39401.04596420395,https://example.com/property/88
Property 89,Apartment,Semi Finished,Sheikh Zayed,North Coast,215 sqm,3,1,"5,421,733 EGP",44658.04252996166,https://example.com/property/89
Property 90,Apartment,Semi Finished,Cairo,North Coast,131 sqm,1,1,"7,606,152 EGP",30835.287137900443,https://example.com/property/90
Property 91,Apartment,Fully Finished,Cairo,Giza,245 sqm,1,1,"8,447,043 EGP",36770.63183374631,https://example.com/property/91
Property 92,Apartment,Fully Finished,Maadi,Cairo,199 sqm,3,2,"7,191,185 EGP",42600.61266704592,https://example.com/property/92
Property 93,Townhouse,Fully Finished,Sheikh Zayed,Cairo,203 sqm,3,3,"9,321,670 EGP",20427.006309623743,https://example.com/property/93
Property 94,Apartment,Unknown,New Cairo,North Coast,382 sqm,3,3,"7,518,063 EGP",21875.82697072172,https://example.com/property/94
Property 95,Apartment,Unknown,Sheikh Zayed,Suez,150 sqm,1,4,"3,409,544 EGP",10025.100665138247,https://example.com/property/95
Property 96,Apartment,Fully Finished,Cairo,Giza,338 sqm,5,3,"3,018,272 EGP",48523.7652359121,https://example.com/property/96
Property 97,Townhouse,Unknown,Cairo,Suez,306 sqm,3,3,"7,113,828 EGP",46701.79578385379,https://example.com/property/97
Property 98,Apartment,Fully Finished,Sheikh Zayed,Suez,305 sqm,2,3,"2,332,270 EGP",40582.73055037721,https://example.com/property/98
Property 99,Apartment,Semi Finished,Sheikh Zayed,Suez,348 sqm,3,3,"1,380,790 EGP",13163.040839065925,https://example.com/property/99
Property 100,Townhouse,Fully Finished,Cairo,Cairo,296 sqm,4,4,"5,556,117 EGP",27900.115587980326,https://example.com/property/100
Property 101,Townhouse,Semi Finished,New Cairo,North Coast,445 sqm,3,2,"8,305,594 EGP",14075.670158862113,https://example.com/property/101
Property 102,Townhouse,Unknown,Maadi,Cairo,354 sqm,1,1,"1,463,108 EGP",10636.810690511944,https://example.com/property/102
Property 103,Apartment,Fully Finished,Maadi,North Coast,296 sqm,3,3,"8,022,967 EGP",34647.31860850389,https://example.com/property/103
Property 104,Townhouse,Unknown,Sheikh Zayed,Giza,423 sqm,4,2,"8,209,934 EGP",48433.17668320754,https://example.com/property/104
Property 105,Townhouse,Semi Finished,Maadi,Giza,322 sqm,2,3,"5,081,603 EGP",46114.720937286,https://example.com/property/105
Property 106,Apartment,Semi Finished,Cairo,Suez,181 sqm,5,3,"1,044,447 EGP",37870.19259741617,https://example.com/property/106
Property 107,Townhouse,Semi Finished,Cairo,North Coast,143 sqm,3,1,"2,158,603 EGP",13865.623366594857,https://example.com/property/107
Property 108,Apartment,Unknown,Sheikh Zayed,North Coast,118 sqm,4,1,"7,220,549 EGP",20966.561506892005,https://example.com/property/108
Property 109,Villa,Unknown,Sheikh Zayed,North Coast,454 sqm,4,1,"7,261,890 EGP",22802.26907541164,https://example.com/property/109
Property 110,Townhouse,Unknown,Sheikh Zayed,Suez,369 sqm,2,3,"9,034,375 EGP",40526.00230982245,https://example.com/property/110
Property 111,Villa,Unknown,New Cairo,Suez,471 sqm,1,3,"6,035,518 EGP",42089.96716940457,https://example.com/property/111
Property 112,Apartment,Semi Finished,Maadi,Giza,321 sqm,3,3,"1,679,019 EGP",25404.244919596815,https://example.com/property/112
Property 113,Townhouse,Semi Finished,Sheikh Zayed,Cairo,263 sqm,4,1,"1,653,441 EGP",26715.359864704387,https://example.com/property/113
Property 114,Apartment,Fully Finished,Giza,North Coast,76 sqm,2,4,"7,350,757 EGP",11780.361571046853,https://example.com/property/114
Property 115,Villa,Fully Finished,Giza,North Coast,352 sqm,5,2,"2,245,954 EGP",21565.468736750438,https://example.com/property/115
Property 116,Apartment,Unknown,Cairo,Cairo,311 sqm,4,4,"3,619,662 EGP",28051.4070871056,https://example.com/property/116
Property 117,Townhouse,Semi Finished,Maadi,North Coast,495 sqm,2,3,"5,128,514 EGP",14679.321855410304,https://example.com/property/117
Property 118,Townhouse,Semi Finished,Sheikh Zayed,Suez,157 sqm,1,3,"735,266 EGP",28130.698430200853,https://example.com/property/118
Property 119,Villa,Semi Finished,Giza,Suez,288 sqm,1,4,"2,863,780 EGP",44127.03249031201,https://example.com/property/119
Property 120,Apartment,Fully Finished,Maadi,North Coast,342 sqm,4,3,"4,374,951 EGP",33252.84078900213,https://example.com/property/120
Property 121,Townhouse,Fully Finished,Cairo,Suez,340 sqm,4,2,"3,156,545 EGP",13157.194201536493,https://example.com/property/121
Property 122,Villa,Semi Finished,New Cairo,Suez,302 sqm,3,3,"1,795,518 EGP",17666.852753210973,https://example.com/property/122
Property 123,Townhouse,Semi Finished,Maadi,North Coast,399 sqm,2,2,"7,416,116 EGP",28981.77400634225,https://example.com/property/123
Property 124,Townhouse,Semi Finished,Maadi,Giza,142 sqm,4,4,"8,224,902 EGP",24459.485992872484,https://example.com/property/124
Property 125,Apartment,Fully Finished,New Cairo,Cairo,376 sqm,3,4,"2,946,050 EGP",24349.08078184395,https://example.com/property/125
Property 126,Townhouse,Semi Finished,Maadi,Suez,328 sqm,3,3,"7,856,985 EGP",31170.697925743607,https://example.com/property/126
Property 127,Apartment,Semi Finished,Cairo,Giza,453 sqm,4,2,"4,162,758 EGP",33375.8368635783,https://example.com/property/127
Property 128,Townhouse,Unknown,Cairo,Suez,431 sqm,1,3,"5,313,515 EGP",41874.46281104765,https://example.com/property/128
Property 129,Villa,Unknown,New Cairo,Suez,191 sqm,2,1,"8,632,010 EGP",23638.662538499386,https://example.com/property/129
Property 130,Townhouse,Fully Finished,Sheikh Zayed,Cairo,174 sqm,2,1,"7,624,559 EGP",42218.651321623474,https://example.com/property/130
Property 131,Apartment,Semi Finished,Giza,Suez,491 sqm,1,1,"8,148,610 EGP",23544.4491645053,https://example.com/property/131
Property 132,Apartment,Semi Finished,Sheikh Zayed,Cairo,287 sqm,4,1,"1,800,029 EGP",12217.319557649353,https://example.com/property/132
Property 133,Villa,Unknown,Maadi,Cairo,457 sqm,2,3,"1,162,334 EGP",32167.506040191645,https://example.com/property/133
Property 134,Townhouse,Fully Finished,Giza,Cairo,123 sqm,4,1,"8,987,344 EGP",33516.092995792584,https://example.com/property/134
Property 135,Townhouse,Unknown,New Cairo,Giza,339 sqm,4,2,"4,184,425 EGP",47381.6098248744,https://example.com/property/135
Property 136,Villa,Unknown,New Cairo,North Coast,414 sqm,3,4,"3,234,856 EGP",39042.45304249898,https://example.com/property/136
Property 137,Townhouse,Unknown,Giza,Giza,476 sqm,1,4,"7,384,614 EGP",46710.90609977758,https://example.com/property/137
Property 138,Townhouse,Unknown,Cairo,North Coast,201 sqm,4,1,"8,445,948 EGP",46333.888409720385,https://example.com/property/138
Property 139,Apartment,Semi Finished,Giza,North Coast,376 sqm,5,1,"8,693,651 EGP",34182.96441032969,https://example.com/property/139
Property 140,Townhouse,Semi Finished,Maadi,Cairo,292 sqm,1,1,"3,501,972 EGP",31110.4826134579,https://example.com/property/140
Property 141,Townhouse,Unknown,Cairo,Suez,77 sqm,2,3,"8,596,017 EGP",32297.638686543996,https://example.com/property/141
Property 142,Villa,Fully Finished,New Cairo,Cairo,360 sqm,3,4,"888,872 EGP",49133.232307089915,https://example.com/property/142
Property 143,Villa,Fully Finished,Giza,Suez,360 sqm,2,1,"971,784 EGP",40926.70766987836,https://example.com/property/143
Property 144,Apartment,Fully Finished,Sheikh Zayed,North Coast,468 sqm,2,2,"6,423,432 EGP",14250.636191695834,https://example.com/property/144
Property 145,Townhouse,Fully Finished,Sheikh Zayed,Cairo,273 sqm,1,1,"1,099,510 EGP",41137.13627125599,https://example.com/property/145
Property 146,Townhouse,Unknown,Maadi,Suez,153 sqm,2,4,"3,583,787 EGP",16821.521955929034,https://example.com/property/146
Property 147,Townhouse,Semi Finished,Sheikh Zayed,Giza,70 sqm,4,1,"6,891,181 EGP",27894.021960225025,https://example.com/property/147
Property 148,Apartment,Fully Finished,Giza,Suez,237 sqm,2,4,"3,704,035 EGP",18418.386887061373,https://example.com/property/148
Property 149,Apartment,Unknown,Giza,Cairo,185 sqm,3,1,"2,206,197 EGP",37583.32262132919,https://example.com/property/149
Property 150,Villa,Fully Finished,Sheikh Zayed,Giza,392 sqm,3,2,"3,172,830 EGP",45092.38944772143,https://example.com/property/150
Property 151,Apartment,Fully Finished,Giza,Suez,209 sqm,5,1,"4,846,965 EGP",21614.47541466724,https://example.com/property/151
Property 152,Townhouse,Unknown,Maadi,Suez,477 sqm,3,2,"5,016,165 EGP",13280.429648327505,https://example.com/property/152
Property 153,Townhouse,Semi Finished,Cairo,Suez,483 sqm,2,2,"7,938,502 EGP",21939.72392299853,https://example.com/property/153
Property 154,Apartment,Semi Finished,Maadi,Suez,329 sqm,3,1,"7,626,455 EGP",36894.47431728778,https://example.com/property/154
Property 155,Townhouse,Unknown,Maadi,Suez,467 sqm,1,2,"4,839,769 EGP",23150.405102177996,https://example.com/property/155
Property 156,Townhouse,Semi Finished,Giza,Giza,392 sqm,3,3,"8,533,839 EGP",21124.486702152135,https://example.com/property/156
Property 157,Apartment,Unknown,Cairo,North Coast,296 sqm,4,1,"1,585,252 EGP",17377.407623370596,https://example.com/property/157
Property 158,Apartment,Unknown,Giza,Giza,131 sqm,1,1,"2,925,856 EGP",29900.657074977342,https://example.com/property/158
Property 159,Townhouse,Unknown,New Cairo,Giza,256 sqm,5,2,"8,365,776 EGP",21037.953126287503,https://example.com/property/159
Property 160,Townhouse,Semi Finished,Giza,Giza,302 sqm,4,2,"4,090,943 EGP",39240.413965579326,https://example.com/property/160
Property 161,Townhouse,Unknown,Giza,North Coast,438 sqm,2,1,"9,821,224 EGP",13064.89607968811,https://example.com/property/161
Property 162,Villa,Fully Finished,Giza,Cairo,266 sqm,2,3,"4,929,406 EGP",36561.3213244527,https://example.com/property/162
Property 163,Villa,Semi Finished,Cairo,North Coast,453 sqm,2,2,"8,023,388 EGP",19502.400582710798,https://example.com/property/163
Property 164,Villa,Semi Finished,Giza,Giza,353 sqm,4,2,"4,321,916 EGP",29571.170442064125,https://example.com/property/164
Property 165,Apartment,Semi Finished,Cairo,Suez,111 sqm,4,4,"4,537,058 EGP",21443.59688125042,https://example.com/property/165
Property 166,Villa,Semi Finished,Sheikh Zayed,Suez,497 sqm,4,3,"4,137,389 EGP",38910.74704043183,https://example.com/property/166
Property 167,Apartment,Fully Finished,New Cairo,Giza,287 sqm,1,3,"7,331,218 EGP",47812.28161006547,https://example.com/property/167
Property 168,Apartment,Semi Finished,Cairo,Suez,226 sqm,1,1,"5,701,419 EGP",46683.07117879253,https://example.com/property/168
Property 169,Villa,Semi Finished,Sheikh Zayed,Giza,346 sqm,2,3,"9,465,892 EGP",33337.048605763644,https://example.com/property/169
Property 170,Villa,Unknown,Cairo,Suez,99 sqm,3,1,"2,883,458 EGP",28504.412130279135,https://example.com/property/170
Property 171,Villa,Semi Finished,Cairo,North Coast,336 sqm,2,4,"1,455,345 EGP",42732.020377575274,https://example.com/property/171
Property 172,Townhouse,Fully Finished,New Cairo,Cairo,274 sqm,5,3,"4,235,984 EGP",37333.0545051092,https://example.com/property/172
Property 173,Villa,Fully Finished,Maadi,Cairo,233 sqm,1,2,"6,358,770 EGP",17342.564568677313,https://example.com/property/173
Property 174,Townhouse,Fully Finished,Maadi,North Coast,478 sqm,4,4,"8,677,589 EGP",42836.76854452001,https://example.com/property/174
Property 175,Apartment,Fully Finished,Cairo,North Coast,285 sqm,1,1,"3,788,870 EGP",27155.375575788406,https://example.com/property/175
Property 176,Townhouse,Semi Finished,Giza,Giza,148 sqm,4,4,"6,710,974 EGP",17559.426398847005,https://example.com/property/176
Property 177,Villa,Semi Finished,Sheikh Zayed,Giza,256 sqm,5,1,"3,826,887 EGP",21271.894015859696,https://example.com/property/177
Property 178,Apartment,Fully Finished,Giza,Giza,463 sqm,5,4,"6,363,586 EGP",20701.081209933694,https://example.com/property/178
Property 179,Apartment,Fully Finished,Giza,Suez,129 sqm,1,1,"8,905,675 EGP",30768.278984138404,https://example.com/property/179
Property 180,Apartment,Semi Finished,Cairo,Giza,146 sqm,4,3,"2,697,897 EGP",19374.80362711502,https://example.com/property/180
Property 181,Townhouse,Fully Finished,Cairo,North Coast,55 sqm,5,2,"4,340,295 EGP",14942.659496063046,https://example.com/property/181
Property 182,Villa,Unknown,Cairo,Cairo,56 sqm,2,1,"9,936,019 EGP",14947.634024550429,https://example.com/property/182
Property 183,Apartment,Fully Finished,Cairo,Suez,423 sqm,2,4,"8,751,291 EGP",33331.047885563865,https://example.com/property/183
Property 184,Apartment,Fully Finished,Maadi,Giza,379 sqm,4,1,"5,864,078 EGP",39390.37155397514,https://example.com/property/184
Property 185,Apartment,Unknown,Cairo,Suez,209 sqm,1,1,"5,407,962 EGP",22861.320353533632,https://example.com/property/185
Property 186,Townhouse,Unknown,Maadi,Suez,364 sqm,5,1,"3,203,703 EGP",11386.028392560684,https://example.com/property/186
Property 187,Townhouse,Semi Finished,Maadi,Giza,227 sqm,1,4,"5,413,489 EGP",15088.995477480428,https://example.com/property/187
Property 188,Villa,Semi Finished,Cairo,Suez,478 sqm,2,2,"8,557,724 EGP",46587.78241348228,https://example.com/property/188
Property 189,Townhouse,Unknown,New Cairo,Cairo,485 sqm,5,3,"7,009,157 EGP",29741.74638357812,https://example.com/property/189
Property 190,Apartment,Unknown,Sheikh Zayed,North Coast,226 sqm,1,2,"3,255,418 EGP",28142.912384606992,https://example.com/property/190
Property 191,Villa,Semi Finished,Giza,North Coast,434 sqm,3,1,"2,413,907 EGP",11521.967132403637,https://example.com/property/191
Property 192,Apartment,Fully Finished,Maadi,Cairo,397 sqm,4,4,"3,019,481 EGP",39145.480892675965,https://example.com/property/192
Property 193,Apartment,Unknown,Sheikh Zayed,Suez,189 sqm,4,2,"2,112,712 EGP",31122.723237283157,https://example.com/property/193
Property 194,Townhouse,Semi Finished,New Cairo,Giza,154 sqm,3,1,"1,408,586 EGP",18083.237443460832,https://example.com/property/194
Property 195,Villa,Fully Finished,Giza,Suez,256 sqm,2,3,"4,481,793 EGP",14402.950407242288,https://example.com/property/195
Property 196,Townhouse,Unknown,Giza,Cairo,401 sqm,5,3,"1,576,346 EGP",25335.51454527994,https://example.com/property/196
Property 197,Townhouse,Fully Finished,Maadi,Suez,482 sqm,4,3,"2,133,169 EGP",43486.47856780102,https://example.com/property/197
Property 198,Villa,Semi Finished,Cairo,North Coast,393 sqm,3,1,"5,699,584 EGP",44611.78236804098,https://example.com/property/198
Property 199,Apartment,Unknown,New Cairo,Suez,434 sqm,3,4,"2,063,693 EGP",34113.85521582546,https://example.com/property/199
Property 200,Apartment,Fully Finished,Maadi,Cairo,321 sqm,2,2,"1,106,857 EGP",39101.45708920571,https://example.com/property/200
Property 201,Villa,Unknown,New Cairo,North Coast,425 sqm,2,3,"3,515,194 EGP",14606.231496114815,https://example.com/property/201
Property 202,Apartment,Fully Finished,Cairo,Suez,402 sqm,1,1,"2,593,031 EGP",33525.04261871419,https://example.com/property/202
Property 203,Villa,Semi Finished,Cairo,Suez,219 sqm,4,1,"5,395,399 EGP",36678.62813948727,https://example.com/property/203
Property 204,Villa,Semi Finished,Maadi,North Coast,298 sqm,1,2,"1,472,487 EGP",18028.513716551686,https://example.com/property/204
Property 205,Townhouse,Unknown,Cairo,Giza,412 sqm,3,3,"7,641,822 EGP",45206.18931641036,https://example.com/property/205
Property 206,Villa,Fully Finished,Sheikh Zayed,North Coast,70 sqm,5,1,"9,109,218 EGP",17799.86950084079,https://example.com/property/206
Property 207,Townhouse,Unknown,Giza,Giza,413 sqm,5,2,"7,562,634 EGP",22539.094393858017,https://example.com/property/207
Property 208,Apartment,Unknown,Maadi,Cairo,130 sqm,2,4,"5,561,856 EGP",34822.273880938345,https://example.com/property/208
Property 209,Apartment,Fully Finished,New Cairo,Cairo,281 sqm,5,4,"8,676,344 EGP",35534.00260522923,https://example.com/property/209
Property 210,Apartment,Fully Finished,Sheikh Zayed,North Coast,413 sqm,5,4,"7,101,724 EGP",37975.38963949469,https://example.com/property/210
